Consumption for electricty generation (Btu) for all sectors monthly
http://www.eia.gov/electricity/data/browser/#/topic/9?agg=2,0,1&fuel=vtvv&geo=g&sec=g&freq=M&start=200101&end=201605&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
18:53:43 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : coal million MMBtu
May 2016,867.16565
Apr 2016,760.62413
Mar 2016,766.72118
Feb 2016,976.64952
Jan 2016,1191.74795
Dec 2015,947.03848
Nov 2015,927.81474
Oct 2015,1018.40298
Sep 2015,1240.7651
Aug 2015,1418.72762
Jul 2015,1467.36634
Jun 2015,1321.36288
May 2015,1098.83734
Apr 2015,931.59971
Mar 2015,1128.41941
Feb 2015,1314.02259
Jan 2015,1378.09773
Dec 2014,1296.66408
Nov 2014,1241.10366
Oct 2014,1161.61532
Sep 2014,1318.82552
Aug 2014,1552.66256
Jul 2014,1566.78787
Jun 2014,1439.87022
May 2014,1239.70888
Apr 2014,1127.19172
Mar 2014,1413.88442
Feb 2014,1484.64107
Jan 2014,1629.04895
Dec 2013,1475.41334
Nov 2013,1263.05949
Oct 2013,1263.08801
Sep 2013,1393.26463
Aug 2013,1569.21299
Jul 2013,1599.99503
Jun 2013,1447.978
May 2013,1248.07892
Apr 2013,1168.91839
Mar 2013,1357.79754
Feb 2013,1285.30451
Jan 2013,1437.35712
Dec 2012,1397.54932
Nov 2012,1338.30984
Oct 2012,1262.89211
Sep 2012,1322.24053
Aug 2012,1601.66503
Jul 2012,1688.6793
Jun 2012,1383.25569
May 2012,1216.20625
Apr 2012,1007.85128
Mar 2012,1105.4916
Feb 2012,1194.39218
Jan 2012,1348.60752
Dec 2011,1394.66203
Nov 2011,1271.79455
Oct 2011,1321.30443
Sep 2011,1471.08271
Aug 2011,1797.97633
Jul 2011,1847.19246
Jun 2011,1646.30838
May 2011,1432.18029
Apr 2011,1295.98582
Mar 2011,1400.48352
Feb 2011,1432.15656
Jan 2011,1763.17047
Dec 2010,1730.73652
Nov 2010,1401.17693
Oct 2010,1371.70454
Sep 2010,1550.91213
Aug 2010,1865.19181
Jul 2010,1876.58585
Jun 2010,1722.71805
May 2010,1489.80606
Apr 2010,1316.58247
Mar 2010,1493.9265
Feb 2010,1584.51926
Jan 2010,1792.45483
Dec 2009,1732.13202
Nov 2009,1419.15343
Oct 2009,1447.24591
Sep 2009,1428.23147
Aug 2009,1703.82843
Jul 2009,1649.43483
Jun 2009,1548.14168
May 2009,1370.99382
Apr 2009,1309.45477
Mar 2009,1403.49308
Feb 2009,1450.76173
Jan 2009,1777.73936
Dec 2008,1739.07508
Nov 2008,1582.26896
Oct 2008,1568.78319
Sep 2008,1678.32458
Aug 2008,1884.16423
Jul 2008,1941.6962
Jun 2008,1776.06334
May 2008,1603.48302
Apr 2008,1519.3117
Mar 2008,1660.73048
Feb 2008,1718.09232
Jan 2008,1876.61695
Dec 2007,1807.20126
Nov 2007,1638.34787
Oct 2007,1668.53458
Sep 2007,1761.09336
Aug 2007,1983.04118
Jul 2007,1924.46048
Jun 2007,1793.03516
May 2007,1625.81815
Apr 2007,1507.73012
Mar 2007,1640.70351
Feb 2007,1682.21629
Jan 2007,1809.68892
Dec 2006,1782.87375
Nov 2006,1637.72209
Oct 2006,1660.46452
Sep 2006,1671.7443
Aug 2006,1973.50365
Jul 2006,1948.3328
Jun 2006,1756.45601
May 2006,1615.58603
Apr 2006,1456.02195
Mar 2006,1661.77591
Feb 2006,1626.25671
Jan 2006,1736.67273
Dec 2005,1837.54538
Nov 2005,1633.28322
Oct 2005,1684.61898
Sep 2005,1782.65653
Aug 2005,1960.90897
Jul 2005,1939.3259
Jun 2005,1800.07149
May 2005,1583.0046
Apr 2005,1477.12245
Mar 2005,1679.49073
Feb 2005,1601.62101
Jan 2005,1822.0669
Dec 2004,1816.39429
Nov 2004,1625.62153
Oct 2004,1623.2814
Sep 2004,1703.06663
Aug 2004,1839.17858
Jul 2004,1878.30524
Jun 2004,1728.55398
May 2004,1622.78436
Apr 2004,1454.25272
Mar 2004,1579.42485
Feb 2004,1654.94336
Jan 2004,1849.9439
Dec 2003,1814.644
Nov 2003,1636.847
Oct 2003,1636.2
Sep 2003,1711.534
Aug 2003,1926.003
Jul 2003,1888.108
Jun 2003,1684.21
May 2003,1552.802
Apr 2003,1461.511
Mar 2003,1597.94
Feb 2003,1607.19
Jan 2003,1849.89
Dec 2002,1771.643
Nov 2002,1609.905
Oct 2002,1642.636
Sep 2002,1709.952
Aug 2002,1885.717
Jul 2002,1910.472
Jun 2002,1717.939
May 2002,1564.112
Apr 2002,1466.853
Mar 2002,1558.545
Feb 2002,1471.566
Jan 2002,1687.549
Dec 2001,1641.992
Nov 2001,1495.478
Oct 2001,1550.41
Sep 2001,1616.718
Aug 2001,1918.078
Jul 2001,1872.829
Jun 2001,1692.626
May 2001,1574.618
Apr 2001,1449.735
Mar 2001,1605.916
Feb 2001,1547.591
Jan 2001,1823.462 
